Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,uSRAM (64x12),LSRAM (20K),Math (18x18),Chip Globals,PLL
CORERESET_PF_C0_0/CORERESET_PF_C0_0/Primitives,1,16,0,0,0,0,0,0,0,0
CoreJTAGDebug_TRSTN_C0_0/CoreJTAGDebug_TRSTN_C0_0/Primitives,40,0,0,0,0,0,0,0,2,0
CoreJTAGDebug_TRSTN_C0_0/CoreJTAGDebug_TRSTN_C0_0/genblk2.genblk2[0].BUFD_TRST/Primitives,34,0,0,0,0,0,0,0,0,0
CoreJTAGDebug_TRSTN_C0_0/CoreJTAGDebug_TRSTN_C0_0/genblk3.genblk1.UJ_JTAG/BUFD_TDI/Primitives,34,0,0,0,0,0,0,0,0,0
CoreJTAGDebug_TRSTN_C0_0/CoreJTAGDebug_TRSTN_C0_0/genblk3.genblk1.UJ_JTAG/BUFD_TMS/Primitives,34,0,0,0,0,0,0,0,0,0
CoreJTAGDebug_TRSTN_C0_0/CoreJTAGDebug_TRSTN_C0_0/genblk3.genblk1.UJ_JTAG/Primitives,106,17,0,0,0,0,0,0,0,0
CoreTimer_C0_0/CoreTimer_C0_0/Primitives,133,118,0,0,0,0,0,0,0,0
MIV_ESS_C0_0/CoreGPIO_0/Primitives,15,24,0,0,0,0,0,0,0,0
MIV_ESS_C0_0/CoreUARTapb_0/Primitives,31,24,0,0,0,0,0,0,0,0
MIV_ESS_C0_0/CoreUARTapb_0/uUART/Primitives,4,9,0,0,0,0,0,0,0,0
MIV_ESS_C0_0/CoreUARTapb_0/uUART/make_CLOCK_GEN/Primitives,24,19,0,0,0,0,0,0,0,0
MIV_ESS_C0_0/CoreUARTapb_0/uUART/make_RX/Primitives,68,41,0,0,0,0,0,0,0,0
MIV_ESS_C0_0/CoreUARTapb_0/uUART/make_TX/Primitives,29,21,0,0,0,0,0,0,0,0
MIV_ESS_C0_0/MIV_APB3_0/Primitives,10,0,0,0,0,0,0,0,0,0
MIV_ESS_C0_0/MIV_APB3_0/u_mux_p_to_b3/Primitives,71,0,0,0,0,0,0,0,0,0
MIV_ESS_C0_0/MIV_ESS_RESET_CTRL_0/Primitives,0,1,0,0,0,0,0,0,0,0
MIV_ESS_C0_0/MIV_PLIC_0/apb_interface_0/Primitives,25,7,0,0,0,0,0,0,0,0
MIV_ESS_C0_0/MIV_PLIC_0/interrupt_claim_complete_0/Primitives,6,6,0,0,0,0,0,0,0,0
MIV_ESS_C0_0/MIV_PLIC_0/plic_core_ie.genblk1[1].interrupt_enable_register_0/Primitives,0,1,0,0,0,0,0,0,0,0
MIV_ESS_C0_0/MIV_PLIC_0/plic_core_ie.genblk1[2].interrupt_enable_register_0/Primitives,0,1,0,0,0,0,0,0,0,0
MIV_ESS_C0_0/MIV_PLIC_0/plic_core_ip.genblk1[1].interrupt_pending_register/Primitives,2,1,0,0,0,0,0,0,0,0
MIV_ESS_C0_0/MIV_PLIC_0/plic_core_ip.genblk1[2].interrupt_pending_register/Primitives,2,1,0,0,0,0,0,0,0,0
MIV_ESS_C0_0/MIV_PLIC_0/plic_core_plic_gateway.genblk1[1].plic_gateway/Primitives,1,1,0,0,0,0,0,0,0,0
MIV_ESS_C0_0/MIV_PLIC_0/plic_core_plic_gateway.genblk1[2].plic_gateway/Primitives,1,1,0,0,0,0,0,0,0,0
MIV_RV32_CFG1_C0_0/MIV_RV32_CFG1_C0_0/u_ipcore_0/Primitives,34,0,0,0,0,0,0,0,0,0
MIV_RV32_CFG1_C0_0/MIV_RV32_CFG1_C0_0/u_ipcore_0/gen_ahb.u_subsys_ahb_0/Primitives,124,55,0,0,0,0,0,0,0,0
MIV_RV32_CFG1_C0_0/MIV_RV32_CFG1_C0_0/u_ipcore_0/gen_ahb.u_subsys_ahb_0/u_ahb_req_arb/Primitives,9,4,0,0,0,0,0,0,0,0
MIV_RV32_CFG1_C0_0/MIV_RV32_CFG1_C0_0/u_ipcore_0/gen_apb.u_apb_initiator_0/Primitives,152,111,0,0,0,0,0,0,0,0
MIV_RV32_CFG1_C0_0/MIV_RV32_CFG1_C0_0/u_ipcore_0/gen_apb.u_apb_initiator_0/u_apb_req_arb/Primitives,11,4,0,0,0,0,0,0,0,0
MIV_RV32_CFG1_C0_0/MIV_RV32_CFG1_C0_0/u_ipcore_0/gen_mtime.u_mtime_irq/Primitives,278,176,0,0,0,0,0,0,0,0
MIV_RV32_CFG1_C0_0/MIV_RV32_CFG1_C0_0/u_ipcore_0/gen_subsys_debug.u_subsys_debug_unit_0/MIV_subsys_debug_transport_module_jtag_0/Primitives,208,109,0,0,0,0,0,0,0,0
MIV_RV32_CFG1_C0_0/MIV_RV32_CFG1_C0_0/u_ipcore_0/gen_subsys_debug.u_subsys_debug_unit_0/debug_req_fifo/Primitives,54,96,0,0,0,0,0,0,0,0
MIV_RV32_CFG1_C0_0/MIV_RV32_CFG1_C0_0/u_ipcore_0/gen_subsys_debug.u_subsys_debug_unit_0/debug_resp_fifo/Primitives,45,80,0,0,0,0,0,0,0,0
MIV_RV32_CFG1_C0_0/MIV_RV32_CFG1_C0_0/u_ipcore_0/gen_subsys_debug.u_subsys_debug_unit_0/miv_rv32_debug_du_0/Primitives,69,213,0,0,0,0,0,0,0,0
MIV_RV32_CFG1_C0_0/MIV_RV32_CFG1_C0_0/u_ipcore_0/gen_subsys_debug.u_subsys_debug_unit_0/miv_rv32_debug_du_0/miv_rv32_debug_sba_0/Primitives,765,166,0,0,0,0,0,0,0,0
MIV_RV32_CFG1_C0_0/MIV_RV32_CFG1_C0_0/u_ipcore_0/gen_tcm0.u_subsys_TCM_0/Primitives,134,54,0,0,0,0,0,0,0,0
