
. Module name, SLE, CFG, ARI1, BUFFER, MACC_PA, RAM1K20, RAM64X12, GLOBAL, IO
. BaseDesign, 2494, 6418, 1017, 102, 4, 81, 7, 4, 9
.	. CORERESET_PF_C0, 16, 1, 0, 0, 0, 0, 0, 0, 0
.	.	. CORERESET_PF_C0_CORERESET_PF_C0_0_CORERESET_PF, 16, 1, 0, 0, 0, 0, 0, 0, 0
.	. CoreJTAGDebug_TRSTN_C0, 17, 109, 0, 102, 0, 0, 0, 2, 0
.	.	. COREJTAGDEBUG_Z1, 17, 109, 0, 102, 0, 0, 0, 2, 0
.	.	.	. COREJTAGDEBUG_UJ_JTAG_26s_0s_34s_85_0_0, 17, 106, 0, 68, 0, 0, 0, 0, 0
.	.	.	.	. corejtagdebug_bufd_34s, 0, 0, 0, 34, 0, 0, 0, 0, 0
.	.	.	.	. corejtagdebug_bufd_34s_0, 0, 0, 0, 34, 0, 0, 0, 0, 0
.	.	.	. corejtagdebug_bufd_34s_2, 0, 0, 0, 34, 0, 0, 0, 0, 0
.	. CoreTimer_C0, 118, 89, 44, 0, 0, 0, 0, 0, 0
.	.	. CoreTimer_32s_1s_19s_0s, 118, 89, 44, 0, 0, 0, 0, 0, 0
.	. MIV_ESS_C0, 158, 273, 19, 0, 0, 0, 0, 0, 0
.	.	. MIV_APB3_Z4, 0, 81, 0, 0, 0, 0, 0, 0, 0
.	.	.	. MIV_APB3_MUXPTOB3, 0, 71, 0, 0, 0, 0, 0, 0, 0
.	.	. MIV_ESS_C0_CoreGPIO_0_CoreGPIO_Z2, 24, 15, 0, 0, 0, 0, 0, 0, 0
.	.	. MIV_ESS_C0_CoreUARTapb_0_CoreUARTapb_Z3, 114, 138, 19, 0, 0, 0, 0, 0, 0
.	.	.	. MIV_ESS_C0_CoreUARTapb_0_COREUART_0s_0s_0s_26s_0s_0s, 90, 107, 19, 0, 0, 0, 0, 0, 0
.	.	.	.	. MIV_ESS_C0_CoreUARTapb_0_Clock_gen_0s_0s, 19, 10, 14, 0, 0, 0, 0, 0, 0
.	.	.	.	. MIV_ESS_C0_CoreUARTapb_0_Rx_async_0s_0s_0s_1s_2s_3s, 41, 69, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. MIV_ESS_C0_CoreUARTapb_0_Tx_async_0s_0s_0s_1s_2s_3s_4s_5s_6s, 21, 24, 5, 0, 0, 0, 0, 0, 0
.	.	. MIV_ESS_RESET_CTRL_26s_32768s_0s, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. MIV_PLIC_2s_26s_0s, 19, 39, 0, 0, 0, 0, 0, 0, 0
.	.	.	. apb_interface_0s_4096_8192_2097156, 7, 27, 0, 0, 0, 0, 0, 0, 0
.	.	.	. interrupt_claim_complete_2s_0s, 6, 6, 0, 0, 0, 0, 0, 0, 0
.	.	.	. interrupt_enable_register_0s, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. interrupt_enable_register_0s_0, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. interrupt_pending_register_0s, 1, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	. interrupt_pending_register_0s_0, 1, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	. plic_gateway_0s, 1, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	. plic_gateway_0s_0, 1, 1, 0, 0, 0, 0, 0, 0, 0
.	. MIV_RV32_CFG1_C0, 2107, 5837, 913, 0, 4, 16, 7, 0, 0
.	.	. MIV_RV32_CFG1_C0_MIV_RV32_CFG1_C0_0_MIV_RV32_Z13, 2107, 5836, 913, 0, 4, 16, 7, 0, 0
.	.	.	. miv_rv32_ipcore_Z11, 2107, 5836, 913, 0, 4, 16, 7, 0, 0
.	.	.	.	. miv_rv32_hart_Z9, 973, 3715, 711, 0, 4, 0, 6, 0, 0
.	.	.	.	.	. miv_rv32_expipe_Z8, 731, 3015, 675, 0, 4, 0, 6, 0, 0
.	.	.	.	.	.	. miv_rv32_bcu, 0, 46, 92, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. miv_rv32_csr_decode_1s_1s_0s, 0, 38, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. miv_rv32_csr_privarch_Z7, 257, 775, 32, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. miv_rv32_csr_decode_0s_1s_0s, 0, 67, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. miv_rv32_csr_gpr_state_reg_1s_0s_0s, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. miv_rv32_csr_gpr_state_reg_1s_0s_0s_0, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. miv_rv32_csr_gpr_state_reg_1s_0s_0s_1, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. miv_rv32_csr_gpr_state_reg_1s_0s_0s_2, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. miv_rv32_csr_gpr_state_reg_1s_0s_0s_3, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. miv_rv32_csr_gpr_state_reg_1s_0s_0s_4, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. miv_rv32_csr_gpr_state_reg_1s_0s_0s_6, 1, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. miv_rv32_csr_gpr_state_reg_1s_1s_0s_12, 1, 6, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. miv_rv32_csr_gpr_state_reg_1s_1s_0s_12_0, 1, 3, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. miv_rv32_csr_gpr_state_reg_1s_1s_0s_7, 1, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. miv_rv32_csr_gpr_state_reg_1s_1s_0s_9, 1, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. miv_rv32_csr_gpr_state_reg_1s_1s_0s_9_0, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. miv_rv32_csr_gpr_state_reg_1s_1s_0s_9_1, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. miv_rv32_csr_gpr_state_reg_1s_1s_0s_9_2, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. miv_rv32_csr_gpr_state_reg_1s_1s_0s_9_3, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. miv_rv32_csr_gpr_state_reg_1s_1s_0s_9_4, 1, 406, 32, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. miv_rv32_csr_gpr_state_reg_30s_1s_536870913, 30, 1, 0, 0, 0, 0, 0, 0, 0
